ID;sex;age;race;marital-status;education;native-country;workclass;occupation;salary-class
0;Male;*;*;spouse not present;*;*;*;Other;<=50K
1;Male;*;*;spouse present;*;*;*;Nontechnical;<=50K
2;Male;*;*;spouse not present;*;*;*;Nontechnical;<=50K
3;Male;*;*;spouse present;*;*;*;Nontechnical;<=50K
4;Female;*;*;*;*;*;*;Technical;<=50K
5;Female;*;*;*;*;*;*;Nontechnical;<=50K
6;Female;*;*;*;*;*;*;Other;<=50K
7;Male;*;*;spouse present;*;*;*;Nontechnical;>50K
8;Female;*;*;*;*;*;*;Technical;>50K
9;Male;*;*;spouse present;*;*;*;Nontechnical;>50K
10;Male;*;*;spouse present;*;*;*;Nontechnical;>50K
11;Male;*;*;spouse present;*;*;*;Technical;>50K
12;Female;*;*;*;*;*;*;Other;<=50K
13;Male;*;*;spouse not present;*;*;*;Nontechnical;<=50K
14;Male;*;*;spouse present;*;*;*;Other;<=50K
15;Male;*;*;spouse not present;*;*;*;Other;<=50K
16;Male;*;*;spouse not present;*;*;*;Technical;<=50K
17;Male;*;*;spouse present;*;*;*;Nontechnical;<=50K
18;Female;*;*;*;*;*;*;Nontechnical;>50K
19;Male;*;*;spouse present;*;*;*;Technical;>50K
20;Female;*;*;*;*;*;*;Other;<=50K
21;Male;*;*;spouse present;*;*;*;Other;<=50K
22;Male;*;*;spouse present;*;*;*;Other;<=50K
23;Female;*;*;*;*;*;*;Technical;<=50K
24;Male;*;*;spouse present;*;*;*;Technical;>50K
25;Male;*;*;spouse not present;*;*;*;Technical;<=50K
26;Male;*;*;spouse not present;*;*;*;Nontechnical;<=50K
27;Male;*;*;spouse present;*;*;*;Technical;<=50K
28;Male;*;*;spouse not present;*;*;*;Other;<=50K
29;Male;*;*;spouse not present;*;*;*;Nontechnical;<=50K
30;Male;*;*;spouse not present;*;*;*;Nontechnical;<=50K
31;Male;*;*;spouse present;*;*;*;Other;<=50K
32;Male;*;*;spouse present;*;*;*;Other;<=50K
33;Male;*;*;spouse not present;*;*;*;Technical;<=50K
34;Male;*;*;spouse not present;*;*;*;Technical;<=50K
35;Female;*;*;*;*;*;*;Other;<=50K
36;Male;*;*;spouse present;*;*;*;Technical;<=50K
37;Male;*;*;spouse present;*;*;*;Technical;<=50K
38;Male;*;*;spouse present;*;*;*;Technical;<=50K
39;Male;*;*;spouse present;*;*;*;Technical;<=50K
40;Female;*;*;*;*;*;*;Other;<=50K
41;Male;*;*;spouse not present;*;*;*;Nontechnical;<=50K
42;Male;*;*;spouse present;*;*;*;Technical;>50K
43;Male;*;*;spouse present;*;*;*;Technical;<=50K
44;Female;*;*;*;*;*;*;Nontechnical;<=50K
45;Male;*;*;spouse present;*;*;*;Technical;<=50K
46;Male;*;*;spouse not present;*;*;*;Technical;<=50K
47;Female;*;*;*;*;*;*;Nontechnical;<=50K
48;Female;*;*;*;*;*;*;Technical;>50K
49;Male;*;*;spouse not present;*;*;*;Nontechnical;>50K
50;Male;*;*;spouse not present;*;*;*;Nontechnical;<=50K
51;Male;*;*;spouse present;*;*;*;Technical;>50K
52;Male;*;*;spouse present;*;*;*;Technical;<=50K
53;Male;*;*;spouse present;*;*;*;Other;<=50K
54;Male;*;*;spouse present;*;*;*;Other;<=50K
55;Male;*;*;spouse present;*;*;*;Technical;<=50K
56;Male;*;*;spouse present;*;*;*;Nontechnical;<=50K
57;Male;*;*;spouse present;*;*;*;Other;<=50K
58;Male;*;*;spouse present;*;*;*;Technical;>50K
59;Male;*;*;spouse not present;*;*;*;Technical;<=50K
60;Male;*;*;spouse present;*;*;*;Technical;<=50K
61;Female;*;*;*;*;*;*;Other;<=50K
62;Female;*;*;*;*;*;*;Other;>50K
63;Male;*;*;spouse present;*;*;*;Nontechnical;>50K
64;Male;*;*;spouse not present;*;*;*;Technical;<=50K
65;Female;*;*;*;*;*;*;Nontechnical;<=50K
66;Male;*;*;spouse present;*;*;*;Nontechnical;>50K
67;Male;*;*;spouse not present;*;*;*;Technical;<=50K
68;Male;*;*;spouse present;*;*;*;Technical;<=50K
69;Male;*;*;spouse not present;*;*;*;Other;<=50K
70;Male;*;*;spouse present;*;*;*;Other;<=50K
71;Female;*;*;*;*;*;*;Other;<=50K
72;Male;*;*;spouse present;*;*;*;Other;<=50K
73;Male;*;*;spouse not present;*;*;*;Nontechnical;<=50K
74;Male;*;*;spouse present;*;*;*;Other;<=50K
75;Female;*;*;*;*;*;*;Other;<=50K
76;Male;*;*;spouse present;*;*;*;Nontechnical;<=50K
77;Female;*;*;*;*;*;*;Technical;>50K
78;Female;*;*;*;*;*;*;Nontechnical;<=50K
79;Male;*;*;spouse present;*;*;*;Other;>50K
80;Male;*;*;spouse present;*;*;*;Technical;<=50K
81;Male;*;*;spouse not present;*;*;*;Nontechnical;<=50K
82;Female;*;*;*;*;*;*;Technical;>50K
83;Male;*;*;spouse present;*;*;*;Technical;<=50K
84;Female;*;*;*;*;*;*;Technical;<=50K
85;Female;*;*;*;*;*;*;Technical;<=50K
86;Male;*;*;spouse present;*;*;*;Other;>50K
87;Male;*;*;spouse not present;*;*;*;Nontechnical;<=50K
88;Male;*;*;spouse present;*;*;*;Technical;>50K
89;Male;*;*;spouse present;*;*;*;Nontechnical;>50K
90;Female;*;*;*;*;*;*;Nontechnical;<=50K
91;Male;*;*;spouse not present;*;*;*;Other;<=50K
92;Male;*;*;spouse present;*;*;*;Nontechnical;>50K
93;Male;*;*;spouse present;*;*;*;Nontechnical;>50K
94;Female;*;*;*;*;*;*;Technical;<=50K
95;Female;*;*;*;*;*;*;Technical;<=50K
96;Male;*;*;spouse not present;*;*;*;Technical;<=50K
97;Male;*;*;spouse present;*;*;*;Technical;>50K
98;Male;*;*;spouse not present;*;*;*;Nontechnical;<=50K
99;Female;*;*;*;*;*;*;Other;<=50K
100;Male;*;*;spouse present;*;*;*;Nontechnical;<=50K
101;Male;*;*;spouse not present;*;*;*;Nontechnical;<=50K
102;Male;*;*;spouse present;*;*;*;Technical;>50K
103;Male;*;*;spouse present;*;*;*;Other;>50K
104;Female;*;*;*;*;*;*;Nontechnical;<=50K
105;Female;*;*;*;*;*;*;Technical;<=50K
106;Male;*;*;spouse present;*;*;*;Nontechnical;<=50K
107;Male;*;*;spouse present;*;*;*;Nontechnical;<=50K
108;Male;*;*;spouse present;*;*;*;Technical;>50K
109;Male;*;*;spouse present;*;*;*;Nontechnical;<=50K
110;Male;*;*;spouse not present;*;*;*;Technical;<=50K
111;Female;*;*;*;*;*;*;Other;<=50K
112;Male;*;*;spouse present;*;*;*;Nontechnical;<=50K
113;Male;*;*;spouse not present;*;*;*;Nontechnical;<=50K
114;Male;*;*;spouse present;*;*;*;Technical;>50K
115;Male;*;*;spouse not present;*;*;*;Other;<=50K
116;Female;*;*;*;*;*;*;Nontechnical;>50K
117;Female;*;*;*;*;*;*;Other;<=50K
118;Male;*;*;spouse present;*;*;*;Other;>50K
119;Male;*;*;spouse not present;*;*;*;Technical;<=50K
120;Female;*;*;*;*;*;*;Nontechnical;<=50K
121;Female;*;*;*;*;*;*;Other;<=50K
122;Male;*;*;spouse present;*;*;*;Technical;<=50K
123;Male;*;*;spouse present;*;*;*;Nontechnical;<=50K
124;Female;*;*;*;*;*;*;Technical;<=50K
125;Male;*;*;spouse present;*;*;*;Technical;>50K
126;Male;*;*;spouse present;*;*;*;Technical;<=50K
127;Female;*;*;*;*;*;*;Other;<=50K
128;Male;*;*;spouse not present;*;*;*;Nontechnical;<=50K
129;Male;*;*;spouse present;*;*;*;Technical;>50K
130;Male;*;*;spouse present;*;*;*;Technical;<=50K
131;Female;*;*;*;*;*;*;Nontechnical;<=50K
132;Male;*;*;spouse not present;*;*;*;Other;<=50K
133;Female;*;*;*;*;*;*;Technical;>50K
134;Male;*;*;spouse not present;*;*;*;Technical;<=50K
135;Female;*;*;*;*;*;*;Other;<=50K
136;Male;*;*;spouse present;*;*;*;Other;<=50K
137;Female;*;*;*;*;*;*;Other;<=50K
138;Male;*;*;spouse present;*;*;*;Technical;<=50K
139;Female;*;*;*;*;*;*;Other;<=50K
140;Female;*;*;*;*;*;*;Other;<=50K
141;Female;*;*;*;*;*;*;Nontechnical;<=50K
142;Male;*;*;spouse not present;*;*;*;Technical;<=50K
143;Male;*;*;spouse present;*;*;*;Technical;<=50K
144;Male;*;*;spouse not present;*;*;*;Nontechnical;<=50K
145;Male;*;*;spouse not present;*;*;*;Nontechnical;<=50K
146;Male;*;*;spouse not present;*;*;*;Technical;<=50K
147;Male;*;*;spouse not present;*;*;*;Other;<=50K
148;Female;*;*;*;*;*;*;Other;<=50K
149;Female;*;*;*;*;*;*;Nontechnical;<=50K
150;Female;*;*;*;*;*;*;Nontechnical;<=50K
151;Male;*;*;spouse present;*;*;*;Nontechnical;>50K
152;Female;*;*;*;*;*;*;Other;<=50K
153;Male;*;*;spouse not present;*;*;*;Nontechnical;<=50K
154;Male;*;*;spouse not present;*;*;*;Other;<=50K
155;Male;*;*;spouse not present;*;*;*;Nontechnical;<=50K
156;Female;*;*;*;*;*;*;Technical;<=50K
157;Male;*;*;spouse not present;*;*;*;Other;<=50K
